booking_id,customer_id,driver_id,booking_datetime,booking_date,booking_hour,day_of_week,is_weekend,is_peak_hour,pickup_zone,pickup_zone_type,dropoff_zone,dropoff_zone_type,distance_km,estimated_trip_duration_min,vehicle_type,payment_method,customer_segment,customer_rating,driver_rating,nearby_driver_count,driver_eta_min,weather,is_raining,traffic_level,surge_multiplier,promo_applied,promo_discount_sgd,estimated_fare_sgd,device_os,app_version,previous_customer_cancellations,booking_status,customer_cancelled,cancel_time_after_booking_min,cancel_reason,actual_pickup_wait_min,actual_trip_duration_min,final_fare_sgd
BK2026006253,C100431,D51299,2026-04-23 09:36:29,2026-04-23,9,Thursday,0,1,Woodlands,Residential,Orchard,Retail,11.98,26.3,GrabCar,Card,Regular,4.52,5.0,8,4.5,Cloudy,0,Medium,1.25,0,0,23.94,Android,Current,1,Customer Cancelled,1,6.4,Changed mind,,,
BK2026004685,C101514,D50345,2026-03-26 17:08:20,2026-03-26,17,Thursday,0,1,Marina Bay,Business/Leisure,Sentosa,Leisure,18.6,44.5,GrabShare,GrabPay,New,4.67,4.37,6,10.2,Clear,0,Severe,1.29,0,0,30.55,iOS,Current,1,Completed,0,,Not Cancelled,11.1,43.2,32.44
BK2026001732,C101924,D50385,2026-02-01 10:33:31,2026-02-01,10,Sunday,1,0,Queenstown,Residential,Changi,Airport,16.9,46.0,GrabCar,Corporate,Regular,4.97,4.45,6,9.5,Cloudy,0,High,1.0,0,0,28.48,iOS,Current,1,Completed,0,,Not Cancelled,9.8,46.3,27.1
BK2026004743,C100125,D50468,2026-03-27 13:33:06,2026-03-27,13,Friday,0,0,CBD,Business,Marina Bay,Business/Leisure,8.17,16.9,GrabCar Plus,GrabPay,Regular,4.87,4.72,13,3.5,Light Rain,1,High,1.29,0,0,20.77,iOS,One version behind,0,Completed,0,,Not Cancelled,8.1,15.8,21.46
BK2026004522,C102427,D50216,2026-03-23 17:01:52,2026-03-23,17,Monday,0,1,Ang Mo Kio,Residential,Clementi,Residential/Student,5.44,18.3,JustGrab,Card,Regular,4.88,4.48,7,12.7,Cloudy,0,Severe,1.29,0,0,13.36,Android,Current,0,Customer Cancelled,1,2.3,Found alternative transport,,,
BK2026006341,C100116,D50186,2026-04-25 04:35:01,2026-04-25,4,Saturday,1,0,Changi,Airport,CBD,Business,25.68,51.8,GrabCar Plus,Cash,New,4.61,4.81,5,7.5,Light Rain,1,Medium,1.05,1,5,43.24,Android,Current,1,Customer Cancelled,1,2.4,Driver took too long,,,
BK2026000577,C100751,D51051,2026-01-11 00:22:36,2026-01-11,0,Sunday,1,0,Orchard,Retail,Clementi,Residential/Student,9.68,31.2,JustGrab,GrabPay,Occasional,4.16,4.62,11,12.1,Light Rain,1,Severe,1.26,0,0,20.35,iOS,Current,2,Customer Cancelled,1,4.2,Driver took too long,,,
BK2026005203,C100809,D50467,2026-04-04 13:27:47,2026-04-04,13,Saturday,1,0,Queenstown,Residential,Tampines,Residential,14.4,30.8,GrabCar,Card,Regular,4.54,4.91,6,4.5,Light Rain,1,Medium,1.18,0,0,26.76,Android,Current,1,Completed,0,,Not Cancelled,6.4,33.2,25.7
BK2026006364,C100844,D51413,2026-04-25 14:36:36,2026-04-25,14,Saturday,1,0,Punggol,Residential,Woodlands,Residential,12.79,19.3,GrabCar,GrabPay,Regular,4.71,4.58,8,2.8,Clear,0,Medium,1.0,1,5,15.62,iOS,Outdated,0,Completed,0,,Not Cancelled,4.7,19.9,15.64
BK2026000440,C100577,D50814,2026-01-08 15:28:12,2026-01-08,15,Thursday,0,0,CBD,Business,Woodlands,Residential,21.79,44.4,GrabCar,Corporate,Occasional,4.75,4.58,10,6.3,Clear,0,High,1.0,0,0,33.84,Android,One version behind,1,Completed,0,,Not Cancelled,6.5,43.4,33.41
