booking_id,booking_datetime,booking_hour,day_of_week,month,is_weekend,is_peak_hour,is_late_night,public_holiday,pickup_zone,pickup_zone_type,dropoff_zone,dropoff_zone_type,airport_trip,cbd_trip,distance_km,estimated_trip_duration_min,vehicle_type,payment_method,customer_segment,loyalty_tier,customer_tenure_days,rides_last_7_days,rides_last_30_days,customer_cancel_rate_90d,previous_customer_cancellations,avg_previous_wait_time_min,customer_rating,driver_rating,active_driver_supply_zone,booking_demand_zone,supply_demand_ratio,nearby_driver_count,drivers_declined_before_accept,driver_acceptance_time_sec,driver_distance_to_pickup_km,driver_eta_min,eta_change_min,weather,is_raining,traffic_level,surge_multiplier,surge_changed_after_booking,promo_applied,promo_discount_sgd,estimated_fare_sgd,app_version,network_quality,customer_cancelled,cancel_reason
BK2026007041,2026-03-06 00:10:02,0,Friday,3,0,0,1,0,Queenstown,Residential,Orchard,Retail,0,0,5.8,9.7,JustGrab,GrabPay,New,,2,0,2,0.106,2,6.0,4.37,4.58,92,61,1.51,9,0,37,1.28,5.5,1.8,Light Rain,1,Medium,1.1,0,0,0,11.66,Current,Good,0,Not Cancelled
BK2026017909,2026-06-11 09:31:08,9,Thursday,6,0,1,0,0,CBD,Business,Ang Mo Kio,Residential,0,1,6.35,20.7,GrabCar Plus,GrabPay,Occasional,Gold,78,0,4,0.15,1,6.6,4.87,4.36,75,91,0.82,11,2,25,0.65,4.9,2.1,Cloudy,0,Severe,1.15,0,1,10,6.64,One version behind,Good,0,Not Cancelled
BK2026010896,2026-04-09 09:42:51,9,Thursday,4,0,1,0,0,Sentosa,Leisure,Jurong East,Mixed,0,0,20.12,39.9,JustGrab,GrabPay,High Value,Gold,1030,3,19,0.0,0,4.6,4.88,5.0,43,87,0.49,5,5,157,1.97,7.9,3.3,Heavy Rain,1,Low,1.49,0,0,0,40.07,Current,Poor,1,Changed plans/weather
BK2026003508,2026-02-01 23:47:25,23,Sunday,2,1,0,1,0,CBD,Business,Bukit Timah,Residential,0,1,16.59,27.2,JustGrab,GrabPay,New,,12,1,2,0.171,1,5.4,4.45,4.54,97,77,1.26,9,0,16,2.77,5.2,3.7,Cloudy,0,Low,1.0,0,1,3,21.48,Current,Good,0,Not Cancelled
BK2026013146,2026-04-29 12:57:57,12,Wednesday,4,0,0,0,0,Jurong East,Mixed,Orchard,Retail,0,0,2.46,4.4,GrabCar,Card,High Value,Platinum,1063,6,20,0.004,0,7.6,4.7,4.7,77,45,1.71,6,1,33,0.45,2.4,0.4,Clear,0,Medium,1.0,0,0,0,7.12,Current,Good,0,Not Cancelled
BK2026015347,2026-05-19 06:56:01,6,Tuesday,5,0,0,0,0,Jurong East,Mixed,CBD,Business,0,1,9.49,20.9,JustGrab,Card,Regular,Platinum,274,2,12,0.003,0,3.0,4.67,4.29,66,51,1.29,3,0,11,0.2,1.6,-2.2,Clear,0,Medium,1.0,0,0,0,16.27,Current,Good,0,Not Cancelled
BK2026019585,2026-06-27 07:52:42,7,Saturday,6,1,1,0,0,Yishun,Residential,Punggol,Residential,0,0,3.0,5.8,GrabShare,Card,Regular,Platinum,1346,4,14,0.053,1,3.6,4.77,4.73,40,70,0.57,3,3,63,4.52,9.5,3.3,Clear,0,Medium,1.49,0,0,0,8.49,Current,Good,1,Driver took too long
BK2026015923,2026-05-24 07:14:07,7,Sunday,5,1,1,0,0,Ang Mo Kio,Residential,Yishun,Residential,0,0,12.18,17.9,JustGrab,GrabPay,Occasional,,417,2,7,0.017,0,4.5,4.82,4.53,50,83,0.6,3,1,23,2.33,6.7,-0.4,Cloudy,0,Medium,1.39,0,0,0,23.72,Current,Good,0,Not Cancelled
BK2026009082,2026-03-23 13:32:07,13,Monday,3,0,0,0,0,Queenstown,Residential,Yishun,Residential,0,0,8.41,12.4,JustGrab,GrabPay,Regular,Gold,1319,2,10,0.005,0,4.8,5.0,4.96,81,41,1.98,7,0,37,2.28,6.0,4.3,Clear,0,Low,1.0,0,0,0,14.12,Current,Average,0,Not Cancelled
BK2026013952,2026-05-06 18:07:52,18,Wednesday,5,0,1,0,0,Orchard,Retail,Punggol,Residential,0,0,2.27,4.7,JustGrab,Card,New,Silver,10,0,0,0.004,0,5.6,4.6,4.97,63,99,0.64,8,3,153,2.67,9.0,0.8,Clear,0,High,1.28,0,0,0,7.41,One version behind,Good,1,Driver took too long
