booking_id,booking_datetime,booking_hour,day_of_week,month,is_weekend,is_peak_hour,is_late_night,public_holiday,pickup_zone,pickup_zone_type,dropoff_zone,dropoff_zone_type,airport_trip,cbd_trip,distance_km,estimated_trip_duration_min,vehicle_type,payment_method,customer_segment,loyalty_tier,customer_tenure_days,rides_last_7_days,rides_last_30_days,customer_cancel_rate_90d,previous_customer_cancellations,avg_previous_wait_time_min,customer_rating,driver_rating,active_driver_supply_zone,booking_demand_zone,supply_demand_ratio,nearby_driver_count,drivers_declined_before_accept,driver_acceptance_time_sec,driver_distance_to_pickup_km,driver_eta_min,eta_change_min,weather,is_raining,traffic_level,surge_multiplier,surge_changed_after_booking,promo_applied,promo_discount_sgd,estimated_fare_sgd,app_version,network_quality,customer_cancelled,cancel_reason
BK2026004274,2026-02-09 00:02:29,0,Monday,2,0,0,1,0,Sentosa,Leisure,Clementi,Student/Residential,0,0,14.81,33.8,GrabCar,GrabPay,Regular,Gold,500,1,11,0.008,0,8.9,4.47,4.74,69,44,1.57,11,0,30,2.33,7.2,0.3,Clear,0,Medium,1.0,0,1,2,22.65,One version behind,Good,0,Not Cancelled
BK2026004453,2026-02-10 13:54:27,13,Tuesday,2,0,0,0,0,Orchard,Retail,Sentosa,Leisure,0,0,10.66,24.4,JustGrab,Card,Regular,Gold,187,3,6,0.018,0,8.0,4.58,4.56,94,61,1.54,13,0,49,0.2,1.5,-1.0,Clear,0,Medium,1.0,0,0,0,17.92,Current,Average,0,Not Cancelled
BK2026014098,2026-05-08 03:10:44,3,Friday,5,0,0,1,0,Bukit Timah,Residential,Woodlands,Residential,0,0,6.58,10.1,GrabCar,Card,New,,13,0,0,0.041,0,3.8,4.68,4.39,70,51,1.37,11,0,19,0.91,4.1,2.6,Heavy Rain,1,Medium,1.1,0,1,5,8.22,One version behind,Average,0,Not Cancelled
BK2026016317,2026-05-27 18:22:45,18,Wednesday,5,0,1,0,1,Changi,Airport,Orchard,Retail,1,0,12.45,32.1,GrabCar,Cash,Occasional,,308,1,4,0.072,1,7.4,4.79,4.36,48,96,0.5,3,2,90,3.1,13.4,3.0,Clear,0,Severe,1.5,0,0,0,28.83,One version behind,Good,1,Found alternative transport
BK2026012840,2026-04-26 17:36:56,17,Sunday,4,1,1,0,0,Queenstown,Residential,CBD,Business,0,1,11.96,26.8,JustGrab,GrabPay,Regular,Silver,851,1,11,0.013,0,3.8,4.67,4.76,49,60,0.82,8,2,68,4.46,14.9,3.7,Clear,0,Severe,1.29,0,0,0,23.22,Current,Good,1,Fare too high
BK2026001581,2026-01-15 03:16:29,3,Thursday,1,0,0,1,0,CBD,Business,Orchard,Retail,0,1,5.07,8.2,GrabCar Plus,Corporate,High Value,Platinum,1243,5,22,0.003,0,6.8,4.23,4.62,110,74,1.49,13,1,52,4.82,9.9,4.7,Heavy Rain,1,Low,1.06,0,0,0,12.4,Current,Good,1,Other
BK2026013291,2026-04-30 20:38:12,20,Thursday,4,0,1,0,0,Queenstown,Residential,Jurong East,Mixed,0,0,9.95,25.3,GrabCar Plus,Card,Regular,Gold,633,4,6,0.007,0,9.0,4.68,4.47,47,78,0.6,7,3,69,6.23,20.0,0.3,Light Rain,1,Severe,1.62,1,0,0,29.68,One version behind,Good,1,Found alternative transport
BK2026008317,2026-03-16 23:43:17,23,Monday,3,0,0,1,0,Yishun,Residential,Ang Mo Kio,Residential,0,0,2.96,4.8,JustGrab,Corporate,High Value,Platinum,861,5,23,0.006,0,4.3,5.0,4.84,73,38,1.92,5,0,42,4.3,7.6,1.9,Clear,0,Medium,1.0,0,1,2,5.48,Outdated,Good,0,Not Cancelled
BK2026016238,2026-05-27 01:03:28,1,Wednesday,5,0,0,1,1,Marina Bay,Business/Leisure,Clementi,Student/Residential,0,1,24.85,45.4,JustGrab,GrabPay,Regular,Platinum,565,3,14,0.003,0,7.9,4.63,4.6,78,72,1.08,16,1,41,2.61,7.4,3.3,Cloudy,0,Low,1.0,0,0,0,35.34,Current,Good,0,Not Cancelled
BK2026006197,2026-02-26 16:17:14,16,Thursday,2,0,0,0,0,Changi,Airport,CBD,Business,1,1,18.34,24.5,JustGrab,Card,Occasional,,432,0,4,0.005,0,7.9,4.75,4.78,59,58,1.02,10,0,18,0.2,1.6,-0.1,Cloudy,0,Low,1.0,0,0,0,26.0,Current,Good,0,Not Cancelled
